Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-224,Nena,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,9/26/2019,Owner/Guardian Surrender,9/30/2019,Adoption,5,4,5
GPG-A-224-2,Nena,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/25/2019,Return,11/27/2019,Adoption,2,0,2
GPG-A-340,Gala,Dog,Collie,Adult Dog (6 months+),Transfer Out,12/5/2019,Stray,12/5/2019,Transfer Out,1,1,0
GPG-A-560,Mr. Rogers,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),Adopted,2/27/2020,Transfer In,4/4/2020,Adoption,37,6,37
GPG-A-773,Aloysius-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,6/10/2020,Transfer In,6/16/2020,Adoption,6,0,6
GPG-A-1153,Spot,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/17/2020,Transfer In,1/4/2021,Adoption,49,2,49
GPG-A-1153-2,Spot,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,1/5/2021,Return,1/29/2021,Adoption,24,11,24
GPG-A-1153-3,Spot,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,1/30/2021,Return,5/1/2021,Adoption,91,7,88
GPG-A-1469,Ciao,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,2/11/2021,Owner/Guardian Surrender,4/8/2021,Adoption,57,3,57
GPG-A-1566-2,Checo,Dog,"Bulldog, American",Adult Dog (6 months+),Adopted,3/30/2021,Owner/Guardian Surrender,4/2/2021,Adoption,3,3,3
GPG-A-2440,Barley,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,10/14/2021,Owner/Guardian Surrender,2/3/2023,Adoption,478,77,478
GPG-A-2489,Jack,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,10/26/2021,Transfer In,2/24/2022,Adoption,122,26,122
GPG-A-1153-4,Spot,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/18/2021,Owner/Guardian Surrender,2/21/2022,Adoption,95,62,43
GPG-A-2947,Avery,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/1/2022,Transfer In,-,-,393,32,393
GPG-A-2961,Cabbage,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,3/3/2022,Transfer In,4/19/2022,Adoption,48,29,48
